2025-07-16 13:59:44 -> ---- Variáveis de parâmetro/classe sendo usadas nesta execução
2025-07-16 13:59:44 -> tamanho_filtro_maximo: 1024
2025-07-16 13:59:44 -> tamanho_filtro_minimo: 16
2025-07-16 13:59:44 -> tamanho_kernel: 6
2025-07-16 13:59:44 -> tamanho_kernel: 6
2025-07-16 13:59:44 -> tamanho_strides: 2
2025-07-16 13:59:44 -> dimensao_ruido: 100
2025-07-16 13:59:44 -> tamanho_imagem: 128
2025-07-16 13:59:44 -> canais_imagem: 3
2025-07-16 13:59:44 -> tamanho_lote: 64
2025-07-16 13:59:44 -> epocas: 100
2025-07-16 13:59:44 -> caminho_imagens_dataset: imagens/imagens_redimensionadas
2025-07-16 13:59:44 -> caminho_resultado: resultado/20250716135944
2025-07-16 13:59:44 -> caminho_historico_execucao: resultado/20250716135944/historico_execucao.txt
2025-07-16 13:59:44 -> caminho_imagens_treinamento: resultado/20250716135944/imgs
2025-07-16 13:59:44 -> caminho_modelo_treinado: resultado/20250716135944/model/gerador_azulejos.h5
2025-07-16 13:59:44 -> Preparando o dataset...
2025-07-16 13:59:44 -> Carregando as imagens e convertendo em ndarray...
2025-07-16 13:59:49 -> Normaliza o dataset (-1, 1)
2025-07-16 13:59:50 -> Cria o dataset no formato do TensorFlow e atribui a propriedade do objeto
2025-07-16 13:59:52 -> Treinando o modelo...
2025-07-16 14:00:27 -> Epoca 1 finalizada em 35.45 segundos. PERDA GERADOR: 2.6558096408843994 >> PERDA DISCRIMINADOR: 1.094531774520874
2025-07-16 14:00:47 -> Epoca 2 finalizada em 19.34 segundos. PERDA GERADOR: 2.557912588119507 >> PERDA DISCRIMINADOR: 0.9944852590560913
2025-07-16 14:01:09 -> Epoca 3 finalizada em 22.36 segundos. PERDA GERADOR: 2.413923978805542 >> PERDA DISCRIMINADOR: 0.9971665143966675
2025-07-16 14:01:31 -> Epoca 4 finalizada em 21.81 segundos. PERDA GERADOR: 2.317321300506592 >> PERDA DISCRIMINADOR: 0.9660739302635193
2025-07-16 14:01:51 -> Epoca 5 finalizada em 19.62 segundos. PERDA GERADOR: 2.2921383380889893 >> PERDA DISCRIMINADOR: 0.9454318284988403
2025-07-16 14:02:13 -> Epoca 6 finalizada em 22.00 segundos. PERDA GERADOR: 2.2358503341674805 >> PERDA DISCRIMINADOR: 0.911282479763031
2025-07-16 14:02:33 -> Epoca 7 finalizada em 19.46 segundos. PERDA GERADOR: 2.200103998184204 >> PERDA DISCRIMINADOR: 0.9012020826339722
2025-07-16 14:02:55 -> Epoca 8 finalizada em 22.15 segundos. PERDA GERADOR: 2.1692051887512207 >> PERDA DISCRIMINADOR: 0.894805371761322
2025-07-16 14:03:17 -> Epoca 9 finalizada em 22.27 segundos. PERDA GERADOR: 2.153059720993042 >> PERDA DISCRIMINADOR: 0.8795283436775208
2025-07-16 14:03:36 -> Epoca 10 finalizada em 19.52 segundos. PERDA GERADOR: 2.1269946098327637 >> PERDA DISCRIMINADOR: 0.871726930141449
2025-07-16 14:03:57 -> Epoca 11 finalizada em 20.13 segundos. PERDA GERADOR: 2.1166539192199707 >> PERDA DISCRIMINADOR: 0.8581729531288147
2025-07-16 14:04:18 -> Epoca 12 finalizada em 21.66 segundos. PERDA GERADOR: 2.0442819595336914 >> PERDA DISCRIMINADOR: 0.851247251033783
2025-07-16 14:04:42 -> Epoca 13 finalizada em 23.24 segundos. PERDA GERADOR: 2.0153582096099854 >> PERDA DISCRIMINADOR: 0.8507050275802612
2025-07-16 14:05:04 -> Epoca 14 finalizada em 22.04 segundos. PERDA GERADOR: 1.9830646514892578 >> PERDA DISCRIMINADOR: 0.8458818793296814
2025-07-16 14:05:23 -> Epoca 15 finalizada em 19.72 segundos. PERDA GERADOR: 1.936240792274475 >> PERDA DISCRIMINADOR: 0.8380996584892273
2025-07-16 14:05:46 -> Epoca 16 finalizada em 22.70 segundos. PERDA GERADOR: 1.9270981550216675 >> PERDA DISCRIMINADOR: 0.8315216898918152
2025-07-16 14:06:08 -> Epoca 17 finalizada em 21.99 segundos. PERDA GERADOR: 1.90498948097229 >> PERDA DISCRIMINADOR: 0.8201261162757874
2025-07-16 14:06:29 -> Epoca 18 finalizada em 20.22 segundos. PERDA GERADOR: 1.8866922855377197 >> PERDA DISCRIMINADOR: 0.809597909450531
2025-07-16 14:06:51 -> Epoca 19 finalizada em 22.09 segundos. PERDA GERADOR: 1.87531316280365 >> PERDA DISCRIMINADOR: 0.7991995215415955
2025-07-16 14:07:11 -> Epoca 20 finalizada em 20.11 segundos. PERDA GERADOR: 1.8514655828475952 >> PERDA DISCRIMINADOR: 0.7978453636169434
2025-07-16 14:07:33 -> Epoca 21 finalizada em 21.91 segundos. PERDA GERADOR: 1.8300836086273193 >> PERDA DISCRIMINADOR: 0.7946047186851501
2025-07-16 14:07:55 -> Epoca 22 finalizada em 22.06 segundos. PERDA GERADOR: 1.8087024688720703 >> PERDA DISCRIMINADOR: 0.7884401679039001
2025-07-16 14:08:15 -> Epoca 23 finalizada em 19.90 segundos. PERDA GERADOR: 1.8085453510284424 >> PERDA DISCRIMINADOR: 0.780299723148346
2025-07-16 14:08:37 -> Epoca 24 finalizada em 22.22 segundos. PERDA GERADOR: 1.8550894260406494 >> PERDA DISCRIMINADOR: 0.7749773859977722
2025-07-16 14:08:59 -> Epoca 25 finalizada em 22.16 segundos. PERDA GERADOR: 1.8402670621871948 >> PERDA DISCRIMINADOR: 0.765509843826294
2025-07-16 14:09:19 -> Epoca 26 finalizada em 20.10 segundos. PERDA GERADOR: 1.8386952877044678 >> PERDA DISCRIMINADOR: 0.7597346305847168
2025-07-16 14:09:42 -> Epoca 27 finalizada em 22.35 segundos. PERDA GERADOR: 1.8409364223480225 >> PERDA DISCRIMINADOR: 0.7537785768508911
2025-07-16 14:10:02 -> Epoca 28 finalizada em 19.99 segundos. PERDA GERADOR: 1.840277075767517 >> PERDA DISCRIMINADOR: 0.7476109266281128
2025-07-16 14:10:25 -> Epoca 29 finalizada em 23.38 segundos. PERDA GERADOR: 1.824554443359375 >> PERDA DISCRIMINADOR: 0.7429144382476807
2025-07-16 14:10:45 -> Epoca 30 finalizada em 19.70 segundos. PERDA GERADOR: 1.8468856811523438 >> PERDA DISCRIMINADOR: 0.7394316792488098
2025-07-16 14:11:08 -> Epoca 31 finalizada em 22.52 segundos. PERDA GERADOR: 1.8431919813156128 >> PERDA DISCRIMINADOR: 0.7391380071640015
2025-07-16 14:11:27 -> Epoca 32 finalizada em 19.67 segundos. PERDA GERADOR: 1.8401851654052734 >> PERDA DISCRIMINADOR: 0.7367810010910034
2025-07-16 14:11:50 -> Epoca 33 finalizada em 22.33 segundos. PERDA GERADOR: 1.8235746622085571 >> PERDA DISCRIMINADOR: 0.7325204014778137
2025-07-16 14:12:12 -> Epoca 34 finalizada em 22.37 segundos. PERDA GERADOR: 1.8131901025772095 >> PERDA DISCRIMINADOR: 0.7301483154296875
2025-07-16 14:12:32 -> Epoca 35 finalizada em 19.54 segundos. PERDA GERADOR: 1.7987452745437622 >> PERDA DISCRIMINADOR: 0.7264384627342224
2025-07-16 14:12:54 -> Epoca 36 finalizada em 22.61 segundos. PERDA GERADOR: 1.7843317985534668 >> PERDA DISCRIMINADOR: 0.7240285277366638
2025-07-16 14:13:15 -> Epoca 37 finalizada em 20.18 segundos. PERDA GERADOR: 1.7705003023147583 >> PERDA DISCRIMINADOR: 0.7233763337135315
2025-07-16 14:13:38 -> Epoca 38 finalizada em 23.02 segundos. PERDA GERADOR: 1.7587753534317017 >> PERDA DISCRIMINADOR: 0.719811737537384
2025-07-16 14:13:58 -> Epoca 39 finalizada em 20.19 segundos. PERDA GERADOR: 1.745951533317566 >> PERDA DISCRIMINADOR: 0.7175328135490417
2025-07-16 14:14:20 -> Epoca 40 finalizada em 22.11 segundos. PERDA GERADOR: 1.784562110900879 >> PERDA DISCRIMINADOR: 0.7137786746025085
2025-07-16 14:14:42 -> Epoca 41 finalizada em 22.06 segundos. PERDA GERADOR: 1.7964680194854736 >> PERDA DISCRIMINADOR: 0.7073014378547668
2025-07-16 14:15:02 -> Epoca 42 finalizada em 20.21 segundos. PERDA GERADOR: 1.7969281673431396 >> PERDA DISCRIMINADOR: 0.7027776837348938
2025-07-16 14:15:23 -> Epoca 43 finalizada em 20.41 segundos. PERDA GERADOR: 1.8106389045715332 >> PERDA DISCRIMINADOR: 0.6990335583686829
2025-07-16 14:15:45 -> Epoca 44 finalizada em 21.93 segundos. PERDA GERADOR: 1.8026989698410034 >> PERDA DISCRIMINADOR: 0.6953989863395691
2025-07-16 14:16:06 -> Epoca 45 finalizada em 21.45 segundos. PERDA GERADOR: 1.7948204278945923 >> PERDA DISCRIMINADOR: 0.6931514143943787
2025-07-16 14:16:28 -> Epoca 46 finalizada em 21.51 segundos. PERDA GERADOR: 1.7859009504318237 >> PERDA DISCRIMINADOR: 0.689228892326355
